nameDest	isFlaggedFraud	amount	ClassifyFraud
C639921569	1	4953893.08	extreme fraud
C1147517658	1	1343002.08	extreme fraud
C1100697970	1	536624.41	extreme fraud
C891140444	1	4892193.09	extreme fraud
C1392803603	1	10000000.0	extreme fraud
C1109166882	1	9585040.37	extreme fraud
C484597480	1	3576297.1	extreme fraud
C1770418982	1	353874.22	extreme fraud
C661958277	1	2542664.27	extreme fraud
C1806199534	1	10000000.0	extreme fraud
C1909486199	1	399045.08	extreme fraud
C1082139865	1	3441041.46	extreme fraud
C1308068787	1	3171085.59	extreme fraud
C1395467927	1	10000000.0	extreme fraud
C1861208726	1	7316255.05	extreme fraud
C1366804249	1	5674547.89	extreme fraud
